C2_L_cmH2O,R2_cmH2O_s_L,MPtot_min,MPtot_max,EF1_min,EF1_max,EII_min,EII_max,EII_range,EF1_range,preference_reversal_across_loading_inputs
0.035,8.0,3.1837018131298493,71.57867816436159,0.5277940539548363,0.5346129867623177,0.055588107909672516,0.06922597352463544,0.013637865614962927,0.00681893280748147,False
0.035,9.0,3.1628792147705065,71.3472213110929,0.5325684118751804,0.5333421092186172,0.06513682375036084,0.06668421843723463,0.0015473946868737876,0.0007736973434367966,False
0.035,10.0,3.1390080577951553,70.9798991028107,0.5339947037219184,0.5382461267621966,0.06798940744383687,0.07649225352439307,0.008502846080556195,0.004251423040278257,False
0.035,11.0,3.1129019211085573,70.51380593420276,0.5360201472031074,0.5444997014443611,0.07204029440621458,0.0889994028887218,0.016959108482507215,0.008479554241253684,False
0.035,12.0,3.0852700105136557,69.97824937877934,0.5390428092817122,0.5511087120388783,0.07808561856342451,0.10221742407775652,0.024131805514332014,0.012065902757166125,False
0.035,13.0,3.0566978341662554,69.39591908473537,0.5427907888640607,0.5579213122060207,0.08558157772812129,0.11584262441204132,0.03026104668392003,0.015130523341959967,False
0.035,14.0,3.027652077799798,68.78413938689484,0.5470645163369279,0.5648311299309742,0.09412903267385576,0.12966225986194824,0.03553322718809247,0.0177666135940463,False
0.035,15.0,2.998495394987322,68.15600030100022,0.5517156984877968,0.5717628029443814,0.10343139697559366,0.14352560588876265,0.04009420891316899,0.02004710445658464,False
0.035,16.0,2.969503793185051,67.52130268040446,0.5565934684395099,0.5786626002963946,0.11318693687901972,0.1573252005927894,0.04413826371376968,0.02206913185688475,False
0.04,4.0,3.4414679308643645,75.32649786076266,0.4896570771854221,0.5355329594491092,0.000369292734394924,0.07106591889821827,0.07069662616382334,0.04587588226368705,True
0.04,5.0,3.434148058910171,76.10008596862815,0.490143239079754,0.5166276840398093,0.0003079662185390786,0.03325536807961835,0.03294740186107927,0.02648444496005531,True
0.04,6.0,3.419471712954193,76.41674859950339,0.49073703700398275,0.5062106623776086,1.6165262580426344e-05,0.01852592599203483,0.018509760729454407,0.015473625373625843,True
0.04,7.0,3.397782196683486,76.37166192945593,0.4944401163941796,0.5012855864940915,0.000448616467058537,0.011119767211640865,0.010671150744582329,0.006845470099911877,True
0.04,8.0,3.3702782565088194,76.05558361740177,0.5,0.5,0.0,0.0,0.0,0.0,False
0.04,9.0,3.338401781217885,75.54504652993934,0.5011239216683213,0.5066876593534185,0.00224784333664282,0.013375318706836989,0.011127475370194168,0.005563737685097214,False
0.04,10.0,3.3035052795536006,74.90040348903878,0.5038972889208344,0.5140540249579622,0.007794577841668941,0.028108049915924208,0.020313472074255268,0.010156736037127745,False
0.04,11.0,3.2667237613807707,74.16745451421917,0.5078193952888638,0.5218109287049566,0.015638790577727588,0.04362185740991295,0.027983066832185363,0.013991533416092827,False
0.04,12.0,3.2289530046957093,73.38015130773269,0.5125425033112974,0.5297679710205704,0.025085006622594563,0.05953594204114073,0.03445093541854617,0.017225467709273024,False
0.04,13.0,3.19087284947241,72.56326866187003,0.5178206106125384,0.537796787137698,0.03564122122507699,0.07559357427539597,0.039952353050318974,0.019976176525159595,False
