C2_L_cmH2O,R2_cmH2O_s_L,PS_cmH2O,Tmus_s,EII_min,EII_max,EF1_min,EF1_max,EII_range,EF1_range
0.025,7.0,10.0,1.0,0.21161340211813148,0.2731119370378104,0.6058067010590656,0.6365559685189053,0.06149853491967891,0.030749267459839635
0.025,7.0,10.0,1.4,0.21161340211813148,0.23949472099840524,0.6058067010590656,0.6197473604992026,0.02788131888027376,0.013940659440137004
0.025,7.0,15.0,0.6,0.211613402118132,0.2291367395316044,0.6058067010590661,0.6145683697658023,0.017523337413472395,0.008761668706736225
0.025,7.0,15.0,1.0,0.211613402118132,0.26386990845924313,0.6058067010590661,0.6319349542296216,0.05225650634111112,0.02612825317055556
0.025,7.0,15.0,1.4,0.211613402118132,0.23551501477928247,0.6058067010590661,0.6177575073896412,0.023901612661150456,0.011950806330575103
0.025,8.0,5.0,0.6,0.21202024718415968,0.22436473357657213,0.60601012359208,0.6121823667882861,0.012344486392412451,0.006172243196206129
0.025,8.0,5.0,1.0,0.21308534030442525,0.2620138220578163,0.6065426701522126,0.6310069110289083,0.04892848175339107,0.02446424087669563
0.025,8.0,5.0,1.4,0.21308534030442525,0.2353767541853205,0.6065426701522126,0.6176883770926602,0.022291413880895256,0.011145706940447586
0.025,8.0,10.0,0.6,0.21308534030442525,0.22436473357657213,0.6065426701522126,0.6121823667882861,0.011279393272146887,0.0056396966360734435
0.025,8.0,10.0,1.0,0.21308534030442525,0.2568107066246251,0.6065426701522126,0.6284053533123125,0.04372536632019983,0.02186268316009987
0.025,8.0,10.0,1.4,0.21308534030442525,0.2328814424402828,0.6065426701522126,0.6164407212201415,0.019796102135857557,0.009898051067928848
0.025,8.0,15.0,0.6,0.21308534030442558,0.22436773832721313,0.6065426701522129,0.6121838691636067,0.011282398022787549,0.005641199011393816
0.025,8.0,15.0,1.0,0.21308534030442558,0.25056575642636564,0.6065426701522129,0.6252828782131827,0.03748041612194006,0.018740208060969876
0.025,8.0,15.0,1.4,0.21308534030442558,0.23021551141972108,0.6065426701522129,0.6151077557098606,0.017130171115295495,0.008565085557647789
0.025,9.0,5.0,0.6,0.2118558074254207,0.22265699503071798,0.6059279037127104,0.611328497515359,0.010801187605297274,0.005400593802648568
0.025,9.0,5.0,1.0,0.21535622663005702,0.24838614144156643,0.6076781133150285,0.6241930707207832,0.03302991481150941,0.016514957405754704
0.025,9.0,5.0,1.4,0.21535622663005702,0.2303051138613408,0.6076781133150285,0.6151525569306704,0.014948887231283792,0.007474443615641868
0.025,9.0,10.0,0.6,0.21535622663005702,0.22265699503071798,0.6076781133150285,0.611328497515359,0.007300768400660962,0.003650384200330481
0.025,9.0,10.0,1.0,0.21535622663005702,0.24534312292634566,0.6076781133150285,0.6226715614631728,0.029986896296288645,0.014993448148144295
0.025,9.0,10.0,1.4,0.21535622663005702,0.22888585838052258,0.6076781133150285,0.6144429291902613,0.013529631750465565,0.00676481587523281
